symbol,earnings_date,expected_move,actual_move,abs_actual_move,move_ratio,sd_03,sd_05,sd_07,sd_10,sd_20
AAL,2017-10-26,0.036342,-0.047236378,0.047236378,1.2997737603874306,0.00806636305073553,0.016104763062030687,0.013548198446131622,0.012826149912818779,0.013277649390499482
AAL,2018-01-25,0.040635,-0.03175762,0.03175762,0.7815336532545836,0.003996882839193073,0.0169770520520535,0.024622488514134993,0.028452143888021333,0.023110630710736338
AAL,2018-04-26,0.042916,-0.063646409,0.063646409,1.4830461599403486,0.01767110021258559,0.019231360894969057,0.017583157557972857,0.019486005230676555,0.017962483798096413
AAN,2016-07-29,0.0724,0.091116173,0.091116173,1.25851067679558,0.012866201645177391,0.016206138075557628,0.013790011499727998,0.012313201204218291,0.010421467126491522
AAN,2016-10-28,0.074834,0.07512152,0.07512152,1.0038421038565357,0.018202149432883726,0.014078916022587864,0.01656152849985895,0.015360526126205674,0.0143513183967074
AAN,2017-02-17,0.078757,-0.087737127,0.087737127,1.1140232233325293,0.004382705250465252,0.005482428903203271,0.007395537538351497,0.011575485444949718,0.013817812756103165
AAN,2017-04-28,0.071918,0.119277484,0.119277484,1.6585205928974667,0.009059574748288566,0.017505493654814276,0.014840446454213696,0.015511546538386803,0.013200432726340503
AAN,2017-07-28,0.085645,0.170359429,0.170359429,1.9891345554323079,0.013538449376503196,0.013897093012469478,0.011436779944324264,0.011347994252563078,0.012813152986361024
AAN,2017-10-27,0.10226,-0.073390152,0.073390152,0.7176819088597692,0.023103305266868938,0.026251029936219788,0.0226132394349309,0.02940205451514672,0.022495472047368487
AAN,2018-02-15,0.103372,0.085792214,0.085792214,0.8299366753085942,0.02631723763703299,0.019643385499946344,0.016618888099979138,0.014006442322956052,0.013779550012369156
AAN,2018-04-26,0.094302,-0.061821405,0.061821405,0.6555683336514603,0.01783970168819423,0.01796899937565344,0.022161085993497132,0.020437444324466873,0.016018785967263572
AAOI,2016-08-05,0.098402,0.153666147,0.153666147,1.561616095201317,0.005782310441086774,0.027213937376868873,0.02278621247529852,0.026581747252910695,0.042235876791243354
AAOI,2016-11-04,0.088792,0.038369305,0.038369305,0.43212569826110464,0.058639909793818557,0.046208260229998015,0.04180236849454191,0.03659341944602655,0.03384181861837998
AAOI,2017-02-24,0.093405,0.227115025,0.227115025,2.4315082169048767,0.034394028249878666,0.04256372517262758,0.04511473847257723,0.04466367403621543,0.045563567443364025
AAOI,2017-05-05,0.138304,0.195471053,0.195471053,1.4133434535515965,0.028705374097145905,0.03469430189499362,0.0349507675589666,0.03918359560765858,0.04354259418277841
AAOI,2017-08-04,0.115514,-0.340749056,0.340749056,2.94985071939332,0.06577193045090876,0.05907839691800941,0.05139703629315813,0.044780385574201956,0.036599044006847506
AAOI,2017-11-08,0.183627,0.15175508,0.15175508,0.8264311893131183,0.03568292714539057,0.030709126179279473,0.026327046559047017,0.025940301840335224,0.026223443715570813
AAOI,2018-02-22,0.15534800000000001,-0.203762663,0.203762663,1.3116529533692096,0.021264427773921197,0.018613679108251714,0.01664106157808174,0.021454572868718436,0.033398261232870104
AAOI,2018-05-09,0.167446,-0.081696556,0.081696556,0.48789792530129117,0.01196161288783104,0.015165923244961061,0.015294350633159818,0.013440494286933218,0.04824615875295608
AAON,2016-08-04,0.036106,-0.020912548,0.020912548,0.579198692738049,0.017860737200707556,0.014470936781833334,0.015558418077493153,0.014117732052788547,0.010658910569433811
AAON,2016-11-03,0.05263,-0.03502627,0.03502627,0.6655190955728671,0.016765162081731434,0.021518754736105424,0.023086956844521753,0.024959022595999206,0.02056319240575435
AAON,2017-02-23,0.038363,-0.07122093,0.07122093,1.8565005343690535,0.05328221397630354,0.040838889035343065,0.0370497815161298,0.030771538264886163,0.02356494210323894
AAON,2017-05-04,0.050845,0.001344086,0.001344086,0.026434969023502803,0.0227675454028495,0.01727830948706014,0.015302352850062489,0.015993582172402383,0.015223500327315266
AAON,2017-08-03,0.036152,-0.001481481,0.001481481,0.04097922659880505,0.028303738801706523,0.02809029527339205,0.024412947332969403,0.02288668003016633,0.017297148794195066
AAON,2017-11-02,0.027183,-0.001453488,0.001453488,0.05347047787219954,0.0050865584387792245,0.014714983571294665,0.01403664199202159,0.013652784945965522,0.014058567831849436
AAON,2018-02-27,0.040428,0.081118881,0.081118881,2.006502448797863,0.02457470214424751,0.027018049491703264,0.024266249188012127,0.025736570536593364,0.020444774682238966
AAON,2018-05-03,0.061359,-0.063609467,0.063609467,1.0366770481917893,0.04649291070742726,0.032910899690453334,0.02723156063579089,0.027774737543343125,0.020879335585603308
AAP,2016-05-19,0.066675,-0.001877477,0.001877477,0.028158635170603675,0.014781013463927753,0.012327287796850871,0.01693228861345983,0.016125726412765582,0.013864301570718277
AAP,2016-08-16,0.053577,-0.043872198,0.043872198,0.8188625342964332,0.009301356049596927,0.007360064341068991,0.009124057187304259,0.010292870023057498,0.012750038987145303
AAP,2016-11-15,0.069294,0.14996501,0.14996501,2.16418463359021,0.021916642059492293,0.02149852231886726,0.017839055339667488,0.015128453610090065,0.012750310906497671
AAP,2017-02-21,0.061163,-0.00266122,0.00266122,0.04351029217010284,0.00500377114952278,0.0047081114949155305,0.005621305119305418,0.006317388616398169,0.00786028655958086
AAP,2017-05-24,0.068483,-0.05431537,0.05431537,0.793121942671904,0.014383081156009473,0.015181968844093893,0.014965583024162689,0.0195280462826762,0.01945524895432189
AAP,2017-08-15,0.090588,-0.203439444,0.203439444,2.245765929262154,0.02441119319947089,0.01876267921235038,0.023075694629165075,0.021222555885979842,0.019058532277586877
AAP,2017-11-14,0.105029,0.163344677,0.163344677,1.5552340496434318,0.017666189982317525,0.024985150339358584,0.02213153862392602,0.03396205103146557,0.029338451029587084
AAP,2018-02-21,0.097,0.082107262,0.082107262,0.846466618556701,0.04394755022566929,0.04318802321948218,0.03733156682769549,0.03155243448023965,0.023464132755688694
AAP,2018-05-22,0.095059,-0.032060428,0.032060428,0.3372687278427082,0.03682445355114614,0.031210439788673838,0.027862409269484884,0.02341757731952185,0.01770077654647937
AAPL,2016-07-27,0.037807,0.064963277,0.064963277,1.718287010342,0.009933644293054104,0.013408190389734547,0.011532345903138317,0.01049367713249455,0.008652847432270827
AAPL,2016-10-26,0.039654,-0.022494715,0.022494715,0.5672748020376254,0.004055241537545404,0.007430222940581198,0.006245684401384877,0.009293500061117366,0.01348399848770958
AAPL,2017-02-01,0.033732,0.060980635,0.060980635,1.8077977884501364,0.005547377919217799,0.004644928418332273,0.0048461486010124705,0.004957130501795453,0.006278056538085633
AAPL,2017-05-03,0.033334,-0.003050641,0.003050641,0.09151739965200696,0.015642780328256438,0.013608130636487685,0.011307912538738427,0.016413496020795112,0.012004900953829173
AAPL,2017-08-02,0.034459,0.047250916,0.047250916,1.3712213355001597,0.012816086875019629,0.009283737232776436,0.016681170974765167,0.014740000552175656,0.01215945791059069
AAPL,2017-11-03,0.041366,0.026113854,0.026113854,0.6312878692646134,0.003572280034521337,0.0059768018270346,0.008550423446657346,0.009297289523482185,0.010256710390960268
AAPL,2018-02-02,0.047017,-0.043390154,0.043390154,0.9228609651828061,0.037563201482699385,0.030235452871193644,0.029794918135571006,0.026477154640196666,0.01994820825908693
AAPL,2018-05-02,0.040423,0.044175044,0.044175044,1.0928195334339361,0.020222293338549517,0.015366240878839489,0.013988097411837453,0.013299991625803248,0.010407106067655006
AAT,2016-07-27,0.02,-0.019095698,0.019095698,0.9547849,0.00810253264239629,0.011372747296512593,0.009322040543845176,0.007965647761592682,0.007693088739949516
AAT,2016-11-02,0.016223,-0.008564755,0.008564755,0.5279390371694508,0.013701723212510996,0.012968209943985783,0.015038258513081744,0.015619004305017023,0.013450142539486525
AAT,2017-02-15,0.014788,-0.007600184,0.007600184,0.513942656207736,0.01765807806394588,0.015737293204174167,0.01309677849948299,0.012834121634139488,0.01307174439528973
AAT,2017-05-03,0.01539,-0.03372093,0.03372093,2.191093567251462,0.01583948997200777,0.012560796266354155,0.010529388821274304,0.011863237346162467,0.011240621158274566
AAT,2017-08-02,0.030853,-0.012210012,0.012210012,0.3957479661621236,0.0029842021195345667,0.006335155695110087,0.0055539887278151555,0.009243437285755473,0.00948150760605049
AAT,2017-11-01,0.021958,-7.73395e-4,7.73395e-4,0.035221559340559254,0.012212603679949948,0.010744777633300453,0.010139357500258505,0.008639914709243182,0.007780312011667079
AAT,2018-02-14,0.032184,-0.029714979,0.029714979,0.9232842095451156,0.010522264880484904,0.014025289133773567,0.011520505364672508,0.015067379112788281,0.011940947714255459
